
% Title: ARFF file for Titles
%arff file of 2008 titles, contains only the article name and the date of the article
%Created by Rachel Warren
 
@RELATION Titles
 
 %attribute declarations
@ATTRIBUTE title STRING
@ATTRIBUTE date DATE "yyyy-MM-dd"
@ATTRIBUTE was_coded NUMERIC
@data
'candidates pushing hard for the latino vote', "2008-07-14", 1
'the week july 14 - 20', "2008-07-14", 0
'fox to comedy writers: let\'s try this at home', "2008-07-15", 0
'warner has cash lead in virginia senate race', "2008-07-16", 1
'\"obama prepares tour of middle east, europe; news media on board; overseas observers abuzz\"', "2008-07-17", 0
'\"in a red state, obama tackles issues of national security \"', "2008-07-17", 1
'\"telling moments, or trivial pursuits?\"', "2008-07-18", 1
'\"this time, all politics isn\'t local\"', "2008-07-18", 0
'\"mccain co-chairman, under fire, steps aside\"', "2008-07-19", 1
'mccain strafes obama on war', "2008-07-18", 1
'mccain confronts obama on war hearings and troop votes', "2008-07-20", 1
'a vote for coverage of substance', "2008-07-20", 0
'risk aversion; u.s. financial stability is in doubt. the candidates should tell us what they\'d do about it.', "2008-07-20", 0
'new regulator in rescue plan spurs debate', "2008-07-21", 0
'from a heckler to a deal maker', "2008-07-21", 0
'from a heckler to a deal maker', "2008-07-21", 0
'cybersecurity will take a big bite of the budget', "2008-07-21", 0
'conservative group takes on obama in ad and film', "2008-07-22", 1
'mccain links obama and high gas prices', "2008-07-22", 1
'\"top political donors cut way back; as actions of 527s studied, funding slips from \'04 pace\"', "2008-07-22", 0
'\"mccain urges more drilling, blames obama for gas prices\"', "2008-07-22", 1
'an oilman\'s bet against oil; pickens reinvents himself with alternative-energy campaign', "2008-07-22", 0
'\"spending on vets exceeds 1947high; u.s. still not meeting needs, lawmaker says\"', "2008-07-22", 0
'\"spotlight on gas prices, and parties in stalemate\"', "2008-07-24", 0
'\"inside the times, july 24, 2008\"', "2008-07-24", 0
'the oil man cometh', "2008-07-24", 1
'\"best ideas are ideology-free; t. boone pickens\' plan for energy independence may or may not force washington to tackle, rather than talk to death, this issue. but cal and bob agree that big problems require big -- and bipartisan -- solutions.\"', "2008-07-24", 0
'americans move to the middle', "2008-07-26", 0
'black radio\'s zeal for obama is left\'s answer to limbaugh', "2008-07-27", 0
'\"embraced overseas, but to what effect?; obama says voters still question him\"', "2008-07-27", 0
'\"inside the times: july 28, 2008\"', "2008-07-28", 0
'popular demand', "2008-07-28", 0
'obama defends his trip; changes focus to economy', "2008-07-28", 1
'100 days to go; red-letter days for this record-setting presidential campaign. what you can expect -- and possibly can\'t.', "2008-07-28", 0
'mccain says obama plays politics on iraq; some fellow republicans question tactics', "2008-07-28", 1
'can obama run the offense?', "2008-07-29", 1
'\"a canceled obama visit, and the story behind it\"', "2008-07-29", 1
'mccain attack ad cheapens campaign. more to come?', "2008-07-29", 1
'ad confronts the inevitable', "2008-07-29", 1
'inside the times', "2008-07-30", 0
'\"with commercial, mccain gets much more than his money\'s worth\"', "2008-07-30", 1
'obama\'s ad campaign extends to more states; dem has money to take message to traditional republican territory', "2008-07-30", 1
'mccain charge against obama lacks evidence', "2008-07-30", 1
'on nytimes.com', "2008-07-31", 0
'mccain is trying to define obama as out of touch', "2008-07-31", 1
'\"mccain ad paints obama as a celebrity, not a leader; ad watch: the mccain campaign\"', "2008-07-31", 1
'\"mccain ad paints obama as a celebrity, not a leader; ad watch: the mccain campiang\"', "2008-07-31", 0
'\"as aides map aggressive race, mccain often steers off course\"', "2008-07-31", 1
'can this planet be saved?', "2008-08-01", 1
'mccain camp says obama plays \'race card\'', "2008-08-01", 1
'aligned on pushing alternative power; issues 2008: where the candidates stand; energy policy', "2008-08-01", 0
'\"voters want candidate with energy answers; poll finds support for new habits, new sources\"', "2008-08-01", 1
'\"attacks, counterattacks are order of day; candidates trade hostile charges increasingly\"', "2008-08-01", 1
'mccain switches sides for the better', "2008-08-01", 0
'attacks are order of the day; candidates trade hostile charges increasingly', "2008-08-01", 0
'race moves to center stage; mccain campaign accuses obama of exploiting the issue', "2008-08-01", 0
'mccain\'s ad formula employs lowest common denominator', "2008-08-01", 1
'so much for st. john', "2008-08-01", 1
'\"bret baier, sharing his pride and joy\"', "2008-08-02", 1
politics, "2008-08-02", 1
'running while black', "2008-08-02", 1
'unemployment hits 5.7\% as jobs fall for 7th month', "2008-08-02", 0
'\"with genie out of the bottle, obama treads carefully on race\"', "2008-08-02", 0
'\"race, celebrity and the presidential campaign\"', "2008-08-02", 1
'\"jobless rate hits a high, dims hope for recovery; four-year peak signals deeper economic woes\"', "2008-08-02", 0
'race proves to be unwelcome but persistent issue', "2008-08-02", 0
'sizing up mccain\'s claims', "2008-08-02", 0
'names & faces', "2008-08-02", 0
'', "2008-08-02", 0
'dollar bills and paris hilton; both presidential candidates are capable of better.', "2008-08-03", 1
'\"inside the times: august 4, 2008\"', "2008-08-04", 0
'voting with their eyeballs', "2008-08-04", 1
'the talk', "2008-08-04", 1
'rerouting mccain\'s bus; frustrations lead campaign to limit reporters\' access', "2008-08-04", 0
'looking for the goal of that mccain campaign ad', "2008-08-05", 0
'obama ad alleges mccain is in oil companies\' \'pocket\'', "2008-08-05", 1
'obama urges opening up oil reserves; policy shift is his second in a week on energy issue; mccain urges immediate drilling', "2008-08-05", 1
'alaskans for obama: a rare democratic push in the last frontier', "2008-08-05", 0
'the race for comedian in chief', "2008-08-05", 0
'ads to compete at games', "2008-08-06", 0
'\"big donors, too, have seats at obama fund-raising table\"', "2008-08-06", 0
'mccain\'s green-eyed monster', "2008-08-06", 1
'\"mccain, obama promote nuclear energy plans\"', "2008-08-06", 0
'mccain ad says country is \'worse off\' than 4 years ago', "2008-08-06", 1
'crude campaigning', "2008-08-06", 1
'paris for president?', "2008-08-06", 1
'energy returns as major issue; obama links mccain to administration', "2008-08-06", 1
'mccain one-ups obama with ad buy', "2008-08-06", 0
'\"inside the times: august 7, 2008\"', "2008-08-06", 0
'mccain\'s break with bush', "2008-08-07", 1
'\"is paris, like, ready to lead?; hilton throws her hot into the ring\"', "2008-08-07", 1
'\"is paris, like, ready to lead?; hilton throws her hot into the ring\"', "2008-08-07", 1
'candidates paint each other as \'celebrity\' obama and \'more of the same\' mccain', "2008-08-07", 1
'outspoken pawlenty auditions for role of mr. discretion', "2008-08-07", 0
highlights, "2008-08-07", 0
'a way back to the high road?;', "2008-08-07", 1
'\"obama hits back, too softly for some\"', "2008-08-07", 1
'flip-flops more fashionable this election; many due to changes in circumstances', "2008-08-08", 1
'mccain paints obama as a tax hound', "2008-08-09", 1
'no vacation from mccain\'s attacks; gop campaign launches three ads as obama heads for a week in hawaii', "2008-08-09", 1
'how to take away the religion card; how to take away the religion card', "2008-08-09", 0
'the trail', "2008-08-09", 0
'choosing the next president', "2008-08-09", 0
'laugh lines', "2008-08-10", 0
'race is in holding pattern for now; but after the games come the conventions', "2008-08-10", 0
'\"to listen is taxing; new campaign ads distort, rather than enlighten.\"', "2008-08-10", 1
'that was the obama we\'re still waiting for', "2008-08-10", 1
'\'panic thinking\' about gas prices stalls progress', "2008-08-11", 0
'\"inside the times, aug. 12, 2008\"', "2008-08-12", 0
'obama ad tags mccain as \'washington celebrity\'', "2008-08-12", 1
'the trail', "2008-08-12", 1
'a useful pledge for both candidates', "2008-08-12", 0
'eight strikes and you\'re out', "2008-08-13", 0
'mccain\'s criticism on wider stage than obama\'s; candidates take different approaches to advertising during olympics', "2008-08-13", 1
'can mccain use advice clinton got on obama?', "2008-08-13", 0
'mr. obama\'s small-business tax hike', "2008-08-13", 0
'erasing the race factor; obama\'s best hope is to face the issue directly', "2008-08-13", 0
'\"inside the times: august 14, 2008\"', "2008-08-14", 0
'\"for candidates, georgia crisis provides a revealing audition\"', "2008-08-15", 0
'names & faces', "2008-08-15", 0
'jackson browne sues over mccain ad', "2008-08-16", 0
'rivals differ (a bit) on financial market rules', "2008-08-16", 0
'the trail', "2008-08-16", 0
'mccain has top fundraising month; but obama will still have major financial advantage', "2008-08-16", 0
'looking for swing votes in the boardroom', "2008-08-17", 0
'obama backers mobilize in bid to wrest state from republican grip', "2008-08-17", 0
'mr. obama\'s small-business tax hike', "2008-08-17", 1
'how to erase that smea...', "2008-08-17", 0
'the most trusted man in america?', "2008-08-17", 0
'like politics? broadcast your view for only $6', "2008-08-18", 0
'enticing text messagers in a get-out-the-vote push', "2008-08-18", 0
'mccain follows clinton lead with \'3 a.m.\' approach', "2008-08-18", 1
'\"obama tells allies he is ready to hit back; as gop attacks grow, he links mccain, bush\"', "2008-08-20", 0
'summer\'s wake-up calls', "2008-08-20", 0
'obama suggests $2 billion in new funding for nasa', "2008-08-20", 0
'on nytimes.com', "2008-08-20", 0
'obama\'s ads in key states go on attack', "2008-08-20", 1
'two against the one', "2008-08-20", 1
'portraying mccain as out of touch', "2008-08-20", 1
'\"after midsummer\'s silliness, a purpose-driven campaign?\"', "2008-08-20", 1
'\"obama\'s wide web; from youtube to text messaging, candidate\'s team connects to voters\"', "2008-08-20", 0
'rural swath of a big state tests obama', "2008-08-21", 1
'inside the times', "2008-08-21", 0
'on a working break', "2008-08-21", 0
'the silver bullet; steve schmidt makes sure his candidate knows exactly what he is shooting for', "2008-08-21", 1
politics, "2008-08-21", 1
'clinton pays some of her bills', "2008-08-22", 0
'group plans ad criticizing obama\'s ties to ex-radical', "2008-08-22", 1
'obama slams mccain\'s inability to tally family-owned residences', "2008-08-22", 1
'\"for senate veteran, \'i\'m the underdog\'\"', "2008-08-22", 1
'obama\'s judgment is questioned', "2008-08-22", 1
'\"mccain is painted as wealthy, clueless\"', "2008-08-22", 1
'houses add up to a snag for mccain; campaign has cast obama as elitist', "2008-08-22", 1
'on nytimes.com', "2008-08-23", 0
'extreme campaign makeover; the sound bite and the fury over the nominees\' houses', "2008-08-23", 1
'\"in racially aware akron, campaigns playing well so far\"', "2008-08-23", 1
'\"becoming the big new idea: first, look the part\"', "2008-08-24", 0
'last call for change we can believe in', "2008-08-24", 0
'the case for cool', "2008-08-24", 1
'\"obama calls his pick, biden, both a statesman and fighter\"', "2008-08-24", 1
'extreme campaign makeover; the sound bite and the fury over the nominees\' houses', "2008-08-24", 0
'\"myxm xmy xym; as campaigns heat up and washington gets beaten down, are there any pols who will sing its praises?\"', "2008-08-24", 0
'granite state nail-biter', "2008-08-24", 0
'\"inside the times: august 25, 2008\"', "2008-08-25", 0
'obama aides defend bank\'s pay to biden son', "2008-08-25", 0
'america\'s commercials at the olympics', "2008-08-25", 1
'mccain ad: clinton\'s \'truth hurt\'', "2008-08-25", 1
'\"in biden, a life story to complement obama\'s; delaware senator could help lure working class, clinton supporters\"', "2008-08-25", 1
'\"the goal: get to know him; bob, cal and the polling say the democrats\' challenge this week is to show americans the real -- i.e., not aloof -- barack obama\"', "2008-08-25", 0
'airport check-in; every monday', "2008-08-25", 0
'convention guide', "2008-08-25", 0
'the gop\'s delicate passing of the baton', "2008-08-25", 0
'with the democrats in denver', "2008-08-25", 1
'clinton tells her supporters to back obama', "2008-08-26", 1
'\"fighting cancer, kennedy adds an opening spark\"', "2008-08-26", 1
'the good fighter', "2008-08-26", 1
'convention guide', "2008-08-26", 0
'\"companies stump their stuff in denver; coke, gm, kraft, more join the party\"', "2008-08-26", 0
'groups play up obama link to \'60s radical; conservatives say weatherman bill ayers influenced candidate', "2008-08-26", 1
'alaska underscores gop troubles; legal woes for stevens adds to probability of democratic gains', "2008-08-26", 0
'pelosi: time to get off \'failed republican path\'', "2008-08-26", 0
'\"denver\'s not their party, but clintons still a focus; their words and actions could endure beyond \'08\"', "2008-08-26", 1
'campaign slog 70 days to go!', "2008-08-26", 1
'\"for those from swing states, the watchword is . . . worry\"', "2008-08-26", 0
'\"obama\'s family night out; after kennedy electrifies crowd, the would-be first lady calls on democrats to \'stop doubting\' and \'start dreaming\'\"', "2008-08-26", 1
'hot air in the mile high city; bob and cal wonder: will bill clinton or joe biden stop talking? will family values rise again? is age the new political weapon? can biden reach across the aisle?', "2008-08-27", 0
'3 a.m.\' mccain ad uses clinton clips', "2008-08-27", 1
'\"in speech, obama refines his goal\"', "2008-08-27", 1
'obama\'s response ad reflects lessons of 2004', "2008-08-27", 1
'\"barack obama is my candidate\'; clinton urges support, calls for party unity\"', "2008-08-27", 0
'\"mr. obama and the clintons; beyond political differences, a legacy the democratic nominee can build on\"', "2008-08-27", 0
'obama campaign wages fight against conservative group\'s ads', "2008-08-28", 1
'biden sinks his teeth into new role; vp pick positioned as campaign\'s \'attack dog\' and link to middle class', "2008-08-28", 0
'biden sinks his teeth into new role; obama\'s vp pick assumes position as \'attack dog\' and link to middle class', "2008-08-28", 1
'the trail', "2008-08-28", 0
'mccain steps up attacks on his opponent\'s foreign policy credentials', "2008-08-28", 1
'd.c. voting rights plight drowned out by din in denver', "2008-08-28", 0
'mccain is said to be set to unveil running mate tomorrow; poll shows that choice of an abortion rights backer would be risky', "2008-08-28", 0
'\"clinton, thinking about tomorrow\"', "2008-08-28", 0
'\"for veteran speaker, the challenge of a lifetime; before a huge crowd, on a historic date, obama will accept the nomination in a highly anticipated address\"', "2008-08-28", 0
'\"russia deal may fall, a casualty of conflict\"', "2008-08-29", 0
'sense and reality on energy', "2008-08-29", 0
'mccain ad is valentine to obama on big day', "2008-08-29", 0
'\"cable, quietly, introduces an anytime elections channel\"', "2008-08-29", 0
'\"on the small screen, intimacy and welcome silence for obama\'s big rally\"', "2008-08-29", 1
'convention guide; convention newsmakers', "2008-08-29", 0
'\"6 things obama must do between now and nov. 4; the keys: get tough, inspire confidence\"', "2008-08-29", 1
'\"mccain, vp pick to hit ground running on way to st. paul\"', "2008-08-29", 1
'nine weeks to go; which john mccain will show up in st. paul?', "2008-08-29", 0
'\"time to change america\'; obama offers details on taxes, energy and defense\"', "2008-08-29", 0
'campaign slog 67 days to go!', "2008-08-29", 1
'mccain prepares to announce his running mate', "2008-08-29", 1
'obama\'s big fat greek setting', "2008-08-29", 0
'\"tanker bid moves toward endgame; boeing, northrop maneuver for pentagon deal\"', "2008-08-29", 0
'an outsider who charms', "2008-08-30", 0
'\"candidates\' web sites get to know the voters; presidential campaigns tailor, target ads based on visitors\' online habits\"', "2008-08-30", 0
'vice in go-go boots?', "2008-08-31", 0
'the final days', "2008-08-31", 1
'can you cross out \'hillary\' and write \'sarah\'?', "2008-08-31", 0
'campaigns shift as mccain choice alters the race', "2008-08-31", 1
'continuing deception; mr. mccain\'s ads on taxes are just plain false.', "2008-08-31", 1
'grand old book party', "2008-08-31", 0
'\"my old boss, the man dems love to loathe\"', "2008-08-31", 0
'\"on the trail, adjusting to life as a couple\"', "2008-09-01", 0
'the friend he just can\'t shake', "2008-09-01", 0
'a well-timed rain delay; hurricane gustav could do for the gop ticket what john mccain could not: put needed distance between it and president bush.', "2008-09-02", 0
'convention guide; on tap for day 2', "2008-09-02", 0
'mccain\'s pow past hits center stage; campaign using candidate\'s navy service to boost his leadership credentials against obama', "2008-09-02", 0
'rail-riding biden is a strong backer of amtrak in senate', "2008-09-02", 0
'the trail', "2008-09-02", 1
'\"inside the times: september 3, 2008\"', "2008-09-03", 0
'\"mccain and palin, in a new light\"', "2008-09-03", 0
'\"newest staff helps regain footing, focus; a more disciplined candidate, message following shake-up\"', "2008-09-03", 0
'the trail', "2008-09-03", 0
'the spirit of $17.76; thousands of ron paul supporters are happy to pay a price for his own grand old party', "2008-09-03", 0
'\"on center stage, palin electrifies convention\"', "2008-09-04", 0
'\"on center stage, palin electrifies convention\"', "2008-09-04", 0
'convention guide; on tap for day 4', "2008-09-04", 0
'\"a multitude of \'my friends\'; for john mccain, a tried-and-true rhetorical tic\"', "2008-09-04", 0
'in the words of my speechwriter . . .', "2008-09-04", 0
'palin comes out fighting; gop nominates mccain after running mate attacks obama on experience', "2008-09-04", 1
'the resentment strategy', "2008-09-05", 1
'sponsored-link ads play campaign role; google searches turn up paid ads for candidates', "2008-09-05", 0
'\"red-carpet treatment; \'access hollywood\'s\' maria menounos, covering a caucus of politics and celebrity\"', "2008-09-05", 0
'\"at both conventions, a band salutes anarchy\"', "2008-09-06", 0
'jobless rate in august hit a 5-year high', "2008-09-06", 0
'some chartmakers to be: metal gods and idols past', "2008-09-07", 0
'the maverick ticket', "2008-09-07", 0
'mortgage giant overstated size of capital base', "2008-09-07", 0
'rival tickets are redrawing battlegrounds', "2008-09-07", 1
'\"5; myths about those civic-minded, deeply informed voters\"', "2008-09-07", 0
'new hampshire race focuses on the pocketbook', "2008-09-08", 0
'candidates take a licking; ad track: new & notable', "2008-09-08", 0
'\"for the republican base, palin pick is energizing\"', "2008-09-08", 0
'u.s. backs off civilian nuclear pact with russia', "2008-09-09", 0
'a risky high-wire act', "2008-09-09", 0
'\"forgoing subsidy, obama team presses donors\"', "2008-09-09", 0
'surprise me most', "2008-09-09", 0
'very different visions; the conventions clearly demonstrated why the democratic party and the republican party are still worlds apart.', "2008-09-09", 0
'disconnect on palin\'s bridge line', "2008-09-09", 0
'gilmore seeks some mccain momentum', "2008-09-09", 0
'\"\'the original mavericks,\' or \'more of the same\'?\"', "2008-09-09", 0
'\"on campaign trail, tax issue is simple, and complex\"', "2008-09-09", 0
'protecting your assets: some strategies', "2008-09-10", 0
'', "2008-09-10", 0
'\"for \'08 rivals, a skein of ties to loan giants\"', "2008-09-10", 0
'\"feeling a challenge, obama sharpens his silver tongue\"', "2008-09-10", 0
'campaigns adjust their pace to meet short season', "2008-09-10", 0
'my 38.9 million fellow americans . . .', "2008-09-10", 0
'three presidents get my vote', "2008-09-10", 0
'reduced dominance is predicted for u.s.; analyst previews report to next president', "2008-09-10", 0
'all too quiet on the homeland front', "2008-09-11", 0
'troubling signs for obama in pennsylvania', "2008-09-11", 0
'misery loves democrats', "2008-09-11", 0
'ad on sex education distorts obama policy', "2008-09-11", 1
'ad on sex education distorts obama policy', "2008-09-11", 1
'\"mccain\'s \'education\' spot is dishonest, deceptive\"', "2008-09-11", 1
'the ads that aren\'t; candidates let media spread the message', "2008-09-11", 1
'\"what\'s the pig deal?; with a phony flap and a misleading attack ad, the mccain campaign sinks into silliness.\"', "2008-09-11", 1
'she\'s the star the gop hitched its bandwagon to', "2008-09-11", 0
'\"virginians fasten seat belts as obama, mccain dig in\"', "2008-09-11", 0
'\"inside the times september 12th, 2008\"', "2008-09-12", 0
'\"on the web, a nonpartisan look at those partisan campaign ads\"', "2008-09-12", 0
'a message from john mccain', "2008-09-12", 1
'\"health care issue, not quite hot, remains strong\"', "2008-09-12", 0
'\"candidates take break, of sorts, to mark 7th anniversary of the 9/11 attacks\"', "2008-09-12", 0
'candidates promise national-service initiatives', "2008-09-12", 0
'portraying mccain as a man of the past', "2008-09-13", 1
'\"inside the times: september 13th, 2008\"', "2008-09-13", 0
'a big regulator for the little investor', "2008-09-13", 0
'a sharp attack on obama', "2008-09-13", 1
'mccain barbs stirring outcry as distortions', "2008-09-13", 1
'mccain wraps distortions around one truth', "2008-09-13", 1
'a privacy shield against the campaigns', "2008-09-13", 0
'obama campaign begins counterattack', "2008-09-13", 1
'biden\'s son quits lobbying', "2008-09-13", 0
'where to direct all that rage', "2008-09-14", 0
'making america stupid', "2008-09-14", 1
'\"campaign, and complaints, heat up\"', "2008-09-14", 0
'group with swift boat alumni readies ads attacking obama; -', "2008-09-14", 0
'\"obama points to the issues; ignore attacks, democrat implores\"', "2008-09-14", 0
'on nytimes.com', "2008-09-15", 0
'\"inside the times: september 15, 2008\"', "2008-09-15", 0
'an anchor lets down her hair', "2008-09-15", 0
'both sides seeking to be what women want', "2008-09-15", 1
'scrutiny over lobbyist leaves out key points', "2008-09-15", 0
'fey-as-palin wins the early vote on \'snl\'', "2008-09-15", 0
'\"hispanic businesses get out the vote; recruitment campaigns, immigration debate spur latinos\"', "2008-09-15", 0
'gibson trod a fine line in interviews', "2008-09-15", 0
'', "2008-09-16", 0
'\"in a tight race, interest groups step up\"', "2008-09-16", 0
'\"in candidates, 2 approaches to wall street\"', "2008-09-16", 1
'\"in spanish, mccain criticizes obama on immigration\"', "2008-09-16", 1
'candidates pin blame in financial \'crisis\'; but rivals don\'t agree on causes of wall st. woes', "2008-09-16", 1
'\"economy becomes new proving ground for mccain, obama\"', "2008-09-16", 0
'obama ad on lobbying turns past into present', "2008-09-16", 1
'dissecting the negatives', "2008-09-16", 1
'the trail', "2008-09-16", 1
